Fecha,Cuadrante,Celda,Latitud,Longitud,Altitud,Nombre.provisional.morfo,de0a5.plantula,de5a10.de0a25,de10a15.de25a50,de15a20.de50a75,de20a25.de75a100,de25a30.de100a125,de30a35.de125a150,de35a40.de150a175,de40a45.de175a200,de45a50.de200a225,de50a55.de225a250,masde55.masde250,Floracion,Fructificacion,Colector.1,Numerodecoleccion_Plantula1,Colector.2,Numerodecoleccion_Plantula2,Colector.3,Numerodecoleccion_Plantula3,Colector.4,Numerodecoleccion_Adulto1,Colector.5,Numerodecoleccion_Adulto2,Colector.6,Numerodecoleccion_Adulto3,Repeticion
10-01-18,251,7920006,4.21738,-74.17425,3470,grandiflora,1,1,1,1,1,1,1,0,1,0,0,0,NA,NA,YAM,93,NA,NA,NA,NA,YAM,88,NA,NA,NA,NA,0
10-01-18,251,7920006,4.21738,-74.17425,3470,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,251,7920006,4.21738,-74.17425,3470,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,251,7920006,4.21738,-74.17425,3470,argentea,1,1,1,1,1,1,1,1,0,0,0,0,0,1,YAM,92,NA,NA,NA,NA,YAM,89,YAM,90,YAM,91,0
09-01-18,251,7887401,4.21966,-74.17551,3488,grandiflora,1,1,1,1,1,0,0,0,0,0,0,0,0,1,YAM,98,NA,NA,NA,NA,YAM,94,YAM,95,NA,NA,0
09-01-18,251,7887401,4.21966,-74.17551,3488,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
09-01-18,251,7887401,4.21966,-74.17551,3488,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
09-01-18,251,7887401,4.21966,-74.17551,3488,argentea,1,0,1,1,1,1,1,0,1,1,0,0,0,1,YAM,97,YAM,100,NA,NA,YAM,96,YAM,99,NA,NA,0
09-01-18,251,7887401,4.21966,-74.17551,3488,morfo 1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,251,7757028,4.22854,-74.16806,3399,grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,251,7757028,4.22854,-74.16806,3399,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,251,7757028,4.22854,-74.16806,3399,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
10-01-18,251,7757028,4.22854,-74.16806,3399,argentea,1,1,1,1,1,1,1,1,1,0,0,0,0,1,YAM,119,NA,NA,NA,NA,YAM,118,NA,NA,NA,NA,0
09-01-18,251,7748879,4.22913,-74.1677,3408,grandiflora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
09-01-18,251,7748879,4.22913,-74.1677,3408,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
09-01-18,251,7748879,4.22913,-74.1677,3408,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
09-01-18,251,7748879,4.22913,-74.1677,3408,argentea,1,1,1,1,1,1,1,1,1,1,0,0,0,1,YAM,121,NA,NA,NA,NA,YAM,120,NA,NA,NA,NA,0
16-01-18,251,7630654,4.23715,-74.18172,3672,grandiflora,1,1,1,1,0,1,0,0,0,0,0,0,0,1,YAM,122,NA,NA,NA,NA,YAM,125,NA,NA,NA,NA,0
16-01-18,251,7630654,4.23715,-74.18172,3672,killipii,0,0,1,0,0,0,0,0,0,0,0,0,0,0,YAM,125A,NA,NA,NA,NA,YAM,124,NA,NA,NA,NA,0
16-01-18,251,7630654,4.23715,-74.18172,3672,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,251,7630654,4.23715,-74.18172,3672,argentea,0,1,1,1,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,YAM,123,NA,NA,NA,NA,0
16-01-18,251,7875146,4.22056,-74.18398,3625,grandiflora,1,1,1,1,1,1,0,0,0,0,0,0,1,1,YAM,150,NA,NA,NA,NA,YAM,152,YAM,154,NA,NA,0
16-01-18,251,7875146,4.22056,-74.18398,3625,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,251,7875146,4.22056,-74.18398,3625,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
16-01-18,251,7875146,4.22056,-74.18398,3625,argentea,1,1,1,1,1,1,1,0,0,0,0,0,0,1,YAM,149,YAM,151,NA,NA,YAM,153,NA,NA,NA,NA,0
17-01-18,251,7846675,4.22255,-74.16886,3438,grandiflora,1,1,1,1,0,0,0,0,0,0,0,0,0,1,YAM,174,NA,NA,NA,NA,YAM,172,NA,NA,NA,NA,0
17-01-18,251,7846675,4.22255,-74.16886,3438,killipii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17-01-18,251,7846675,4.22255,-74.16886,3438,summapacis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
