Corrected.Collector.Collection.Number,Collector.Collection.Number,Collector,Collection.Number,Occupancy.Adults,Occupancy.Seedling,Observation,Phenotypic.group,Cuatrecasas.Taxa,Pineda.Group,Species.Taxa.Assignment.For.Occupancy.Analysis,Comment.Species.Taxa.Assignment.For.Occupancy.Analysis,Longitude,Latitude,Altitude,Length.Lamina.1,Length.Lamina.2,Length.Lamina.3,Width.Lamina.1,Width.Lamina.2,Width.Lamina.3,Length.Synflorescence.Axis.1,Length.Synflorescence.Axis.2,Length.Synflorescence.Axis.3,Perimeter.Synflorescence.Axis.1,Perimeter.Synflorescence.Axis.2,Perimeter.Synflorescence.Axis.3,Number.Pairs.Sterile.Leaves.Per.Synflorescence.1,Number.Pairs.Sterile.Leaves.Per.Synflorescence.2,Number.Pairs.Sterile.Leaves.Per.Synflorescence.3,Number.Capitula.Per.Synflorescence.1,Number.Capitula.Per.Synflorescence.2,Number.Capitula.Per.Synflorescence.3,Length.Cyme.Peduncle.Center.1,Length.Cyme.Peduncle.Center.2,Length.Cyme.Peduncle.Axial.1,Length.Cyme.Peduncle.Axial.2,Length.Cyme.Peduncle.Axial.3,Length.Cyme.Peduncle.Axial.4,Infructescence.Diameter.Capitulum.1,Infructescence.Diameter.Capitulum.2,Infructescence.Diameter.Capitulum.3,Infructescence.Diameter.Capitulum.4,Inflorescence.Diameter.Capitulum.1,Inflorescence.Diameter.Capitulum.2,Inflorescence.Diameter.Capitulum.3,Inflorescence.Diameter.Capitulum.4,Length.Sterile.Phyllary.1,Length.Sterile.Phyllary.2,Length.Sterile.Phyllary.3,Width.Sterile.Phyllary.1,Width.Sterile.Phyllary.2,Width.Sterile.Phyllary.3,Length.Ray.Flower.Corolla.1,Length.Ray.Flower.Corolla.2,Length.Ray.Flower.Corolla.3,Length.Disc.Flower.Corolla.1,Length.Disc.Flower.Corolla.2,Length.Disc.Flower.Corolla.3,Length.Disc.Flower.Tube.1,Length.Disc.Flower.Tube.2,Length.Disc.Flower.Tube.3,Is.Seedling,DNA.Sample,Type.Taxa,Cited.Cuatrecasas.Monograph.Taxa
YAM_073,Y_073,Pineda Yam,73,No,No,,1,E. summapacis,E. summapacis,E. summapacis,,-74.34472,3.82612,3883,29.3,24.5,NA,2.91,3.26,NA,48,NA,NA,2.8,NA,NA,0,0,NA,3,NA,NA,16.5,NA,15,12.5,NA,NA,NA,NA,NA,NA,4.8,4.5,4.5,NA,24.9,23.4,24.5,6.26,5.87,7.72,16.48,15.53,17.26,8.67,9.11,10.8,2,2.35,2.4,NO,NA,NA,NA
YAM_074,Y_074,Pineda Yam,74,No,No,,Not present,E. summapacis,E. summapacis,E. summapacis,,-74.34472,3.82612,3883,NA,NA,NA,NA,NA,NA,50,NA,NA,2.7,NA,NA,0,0,NA,4,NA,NA,12.2,NA,3.2,12.1,NA,NA,3.6,4.8,4.3,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_075,Y_075,Pineda Yam,75,No,No,,2,E. grandiflora var. attenuata Cuatrec.,E. grandiflora,E. grandiflora,,-74.34859,3.80665,3883,25,24,24.8,3.48,3.12,3.11,66,NA,NA,2.3,NA,NA,2,2,NA,11,NA,NA,1.7,3.2,2.1,1.8,2.8,3.26,NA,NA,NA,NA,1.8,2,2.4,1.9,12.82,13.21,11.48,9.78,6.38,8.3,11.85,11.79,13.51,7.42,7.02,7.24,1.66,1.73,1.34,NO,NA,NA,NA
YAM_076,Y_076,Pineda Yam,76,No,No,,3,E. grandiflora var. attenuata Cuatrec.,E. grandiflora,E. grandiflora,,-74.34895,3.80665,3884,31,31.5,NA,2.96,3.13,NA,56,NA,NA,2.5,NA,NA,1,1,NA,11,NA,NA,3,5,2.5,1.9,4,NA,NA,NA,NA,NA,1.9,1.6,2,NA,16.17,14.34,13.19,8.18,4.98,2.48,9.64,9.53,9.18,6.68,6.87,6.93,2.67,2.09,2.36,NO,NA,NA,NA
YAM_077,Y_077,Pineda Yam,77,No,No,,4,E. grandiflora,E. grandiflora,E. grandiflora,,-74.34895,3.80665,3884,23,21.5,NA,3.76,3.24,NA,43,NA,NA,2,NA,NA,1,1,NA,18,NA,NA,1.8,3.8,2.1,2.5,2.4,2.1,NA,NA,NA,NA,1.7,1.7,1.8,1.5,11.25,10.76,10.16,4.27,4.61,3.62,9.02,6.49,7.82,6.35,5.76,5.91,2.71,1.48,1.6,NO,NA,NA,NA
YAM_078,Y_078,Pineda Yam,78,No,No,,5,Espeletiopsis,Espeletiopsis,Espeletiopsis,,-74.35671,3.81611,3774,10.5,16.3,9,0.988,0.9,0.8,23,19,21,1,0.7,0.8,3,4,4,7,6,3,1.6,1,1.4,1.8,0.9,2,NA,NA,NA,NA,1,1.1,1.6,NA,11.51,9.41,8.62,4.09,2.69,2.61,7.46,6.6,5.9,3.82,4.69,4.66,2.6,1.96,1.5,NO,NA,NA,NA
YAM_079,Y_079,Pineda Yam,79,No,No,,6,sp,H.delgada,H.delgada,,-74.37349,3.82578,3461,34,32,33.5,4.27,4.46,4.34,66,63,65,2.3,2,2.1,0,0,NA,14,21,21,1.6,2.43,1.1,2.1,1.39,1.58,NA,NA,NA,NA,1.5,1.1,1.2,1.18,9.44,7.14,8.36,3.3,3.02,2.2,6.2,6.47,6.14,5.58,6.13,5.65,1.32,2.8,1.36,NO,NA,NA,NA
YAM_080,Y_080,Pineda Yam,80,No,No,,Not present,cf espeletiopsis,cf Espeletiopsis,cf Espeletiopsis,,-74.37351,3.82581,3460,37,36,39.2,NA,NA,NA,114,99,84,2.4,3,3.2,0,0,NA,30,29,27,2.4,2.8,2.8,1.9,3.2,3.9,1.9,1.6,1.8,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_081,Y_081,Pineda Yam,81,Yes,No,,3,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.18656,4.24432,3532,31.6,32.5,31,3.7,2.4,NA,77,71,65,2,2.3,2.4,1,1,NA,14,15,10,2.64,5.67,2.45,1.97,4.37,3.83,NA,NA,NA,NA,1.74,1.77,1.26,1.55,15.53,11.39,14.83,3.85,4.94,4.54,11.24,10.66,10.14,6.24,6.02,6.33,1.73,2.18,1.8,NO,NA,NA,NA
YAM_082,Y_082,Pineda Yam,82,No,Yes,,Not present,sp,sp,E. sp.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_083,Y_083,Pineda Yam,83,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.18673,4.24431,3531,26,NA,NA,2.5,NA,NA,75.5,84,NA,1.9,2.2,NA,2,2,NA,11,18,NA,2.87,3.75,2.59,2.41,4.17,3.93,2.76,3.01,2.99,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_084,Y_084,Pineda Yam,84,No,Yes,,Not present,sp,sp,E. sp.,NA,-74.18673,4.24431,3531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_085,Y_085,Pineda Yam,85,Yes,No,,Not present,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.18559,4.24609,3531,30.4,29,30.5,2.1,2.5,1.8,90,77,73,2.8,2.9,2.3,1,1,NA,17,27,17,2.79,4.27,2.34,2.56,2.71,3.09,2.26,2.65,2.15,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_086,Y_086,Pineda Yam,86,No,Yes,,Not present,sp,sp,E. sp.,NA,-74.18559,4.24609,3531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA
YAM_087,Y_087,Pineda Yam,87,No,No,,Not present,senecio,senecio,senecio,,-74.1854,4.26619,3521,NA,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,NA,NA,NA
YAM_088,Y_088,Pineda Yam,88,Yes,No,,3,E. grandiflora,E. grandiflora,E. grandiflora,NA,-74.17425,4.21738,3470,42.351,47.931,40.097,3.741,4.437,2.915,87,84,90,2.1,2.5,2.5,1,1,NA,12,16,15,4.62,6.52,2.74,2.77,4.84,4.83,1.71,1.95,1.67,1.46,NA,NA,NA,NA,10.38,10.92,10.83,5.95,3.65,5.39,7.88,8.8,9.25,5.52,6.22,6.21,1.27,1.31,1.5,NO,NA,NA,NA
YAM_089,Y_089,Pineda Yam,89,Yes,No,,Not present,E. argentea,E. argentea,E. argentea,NA,-74.17425,4.21742,3472,37.933,38.459,42.362,1.487,0.903,2.659,90,99,103,2.8,2.3,2.5,1,1,NA,29,21,NA,1.76,1.59,2.74,2.54,1.21,1.34,1.6,1.58,1.57,1.44,1.8,1.7,1.86,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NO,YES,NA,NA
